Question,Answer,Topic ,keywords,topic,Bidirectional LSMT glove v. 5 Clean,,Laura ,NLabels,,Cluster model,,,,,NLabels n.2,,semi supervised learning using  pretrained BERT,,Clusters prediction ,,,,,,,
What method did the authors use to analyze the monthly NDVI variation trend from 1981 to 2015?,The authors used Ordinary Least Squares OLS to analyze the monthly NDVI variation trend from 1981 to 2015,Data Analysis Methods,"dataset, data, datasets, datastream, statistics, statistic, statistical, statistisches, estimations, statigraphs, analyzing, analyzed, analysis, statistically, analyze, methodologies, datasheets, methodology, meteorology, analysing, estimation, analyses, estimates, estimate, methodological, climatology, methods, analytical, meteorological, accuracy, determining, used, analytic, metric, climatological, analyzer, utilizing, utilized, metrics, predictability, method, utilisation, analyse, analysed, usage, utilization, how, forecasts, measurement, deterministic",,ethics and regulation,,analysis,science&tech,Q,Analysis,OK,2,analysis,OK,science&tech,Q,science & technology,Q,1,3,1,,,,,analysis
What is the formula for predicting the monthly variation trend of NDVI under the influence of climate change?,The formula for predicting the monthly variation trend of NDVI under the influence of climate change is as follows NDVIres = NDVIobs NDVIpre 2,Climate Impacts,"climatological, climatic, climatology, climatol, impacts, climat, climates, influencing, climate, climatena, impact, meteorological, klimapositives, effects, acclimatize, consequences, meteorology, affects, atmospheric, geothermal, microclimate, impactful, environmental, meteorol, influences, bioclimatic, affect, influence, affecting, impacted, environmentally, effect, pollution, atmosphere, impacting, factors, ecological, environment, ecologization, consequence, affected, ecoregions, influenced, ecology, influential, ecotoxicity, warming, implications, changes, ambientes",,strategy,,science and tech,strategy,*,Ethics and Regulation,,9,analysis,Q,strategy,,science & technology,,1,1,,,3,,,science and tech
What method did the researchers use to identify the main climatic factors impacting forests?,"To identify the main climatic factors impacting forests, the researchers performed a partial correlation analysis",Climatic Forest Impacts,"deforestation, afforestation, reforestation, forests, forest, forestry, climatological, climatology, trees, influencing, climatic, impacts, tree, impact, factors, ecotypes, ecologization, meteorological, effects, climatol, klimapositives, geological, affects, impacted, ecoregions, climates, woodward, affecting, environmental, environmentally, climat, conifers, ecological, impactful, ecology, affect, influences, shrub, acclimatize, impacting, climate, climatena, altitudes, effect, timber, firewood, geothermal, influence, affected, environment",,science and tech,OK,science and tech,science&tech,OK,Analysis,Q,2,analysis,Q,factual,,science & technology,OK,1,3,,,,,1,science and tech
What is Pearson correlation analysis used for in this study?,Pearson correlation analysis is used to study the impact of slope and aspect on the significant change of forest areas in various ecological areas,Climatic Forest Impacts,"deforestation, afforestation, reforestation, forests, forest, forestry, climatological, climatology, trees, influencing, climatic, impacts, tree, impact, factors, ecotypes, ecologization, meteorological, effects, climatol, klimapositives, geological, affects, impacted, ecoregions, climates, woodward, affecting, environmental, environmentally, climat, conifers, ecological, impactful, ecology, affect, influences, shrub, acclimatize, impacting, climate, climatena, altitudes, effect, timber, firewood, geothermal, influence, affected, environment",,analysis,OK,analysis,science&tech,Q,Analysis,OK,11,others,,science&tech,Q,science & technology,Q,1,3,,1,,,,analysis
What is the formula used to determine the correlation between two factors?,The formula used to determine the correlation between two factors is P =n i=1xi xyi y/n i=1xi x2n i=1yi y2,Quantifying Coefficients,"coefficients, coefficient, equation, calculates, calculating, equations, calculation, calculations, exponential, calculated, mathematical, computational, computation, quantifying, calculate, computationally, quantify, mathematically, formulas, numerically, compute, formula, comput, constants, factor, exponent, variables, factors, quantified, decimal, quadratic, quantitative, computing, computed, equilibrium, logarithmic, numerical, variable, theorem, determinants, algorithm, algorithms, logarithm, ratios, ratio, derivative, polynomial, constant, quantitatively, figures",,science and tech,OK,science and tech,science&tech,OK,Analysis,Q,2,analysis,Q,science&tech,OK,science & technology,OK,1,4,,,,,,science and tech
"How did the area of significant forest changes differ by altitude, month, and latitude?","The area of significant forest changes differed by altitude, month, and latitude, with changes in the altitude range associated with significant browning being inconsistent with that of significant greening",Climatic Forest Impacts,"deforestation, afforestation, reforestation, forests, forest, forestry, climatological, climatology, trees, influencing, climatic, impacts, tree, impact, factors, ecotypes, ecologization, meteorological, effects, climatol, klimapositives, geological, affects, impacted, ecoregions, climates, woodward, affecting, environmental, environmentally, climat, conifers, ecological, impactful, ecology, affect, influences, shrub, acclimatize, impacting, climate, climatena, altitudes, effect, timber, firewood, geothermal, influence, affected, environment",,strategy,,analysis,factual,,Analysis,OK,2,analysis,OK,factual,,science & technology,,1,1,,,1,,2,analysis
"What was the altitude range associated with the most pronounced changes in NDVI during the months of May, July and November?","The altitude range with the most pronounced changes in NDVI during the months of May, July and November was 0-200m above sea level",Relation Correlation,"correlation, correlations, correlated, relation, ratios, relevance, ratio, relationship, connections, relevant, related, relationships, interconnection, index, connectivity, relations, indexes, connection, coefficients, associated, interconnected, relating, coefficient, compared, interactions, statistic, relative, linkages, statistisches, comparisons, statistical, statistics, factors, comparative, proportional, linked, associating, comparison, connected, connects, intercomparison, betweenness, percentages, relatively, comparing, statistically, linking, compares, negative, low",,others,,analysis,science&tech,Q,Analysis,OK,2,analysis,OK,science&tech,Q,science & technology,Q,1,3,,1,,,,analysis
What elevation range showed the largest monthly browning area?,200-400 m elevation range showed the largest monthly browning area of 28%,Climatic Forest Impacts,"deforestation, afforestation, reforestation, forests, forest, forestry, climatological, climatology, trees, influencing, climatic, impacts, tree, impact, factors, ecotypes, ecologization, meteorological, effects, climatol, klimapositives, geological, affects, impacted, ecoregions, climates, woodward, affecting, environmental, environmentally, climat, conifers, ecological, impactful, ecology, affect, influences, shrub, acclimatize, impacting, climate, climatena, altitudes, effect, timber, firewood, geothermal, influence, affected, environment",,ethics and regulation,,analysis,science&tech,Q,Analysis,OK,2,analysis,OK,science&tech,Q,science & technology,Q,1,3,1,,,,,analysis
What was the trend of areal extent of forest with significant greening and browning in the northern and southern hemispheres?,The areal extent of forest with significant greening and browning in the northern and southern hemispheres decreased with increasing altitude,Climatic Forest Impacts,"deforestation, afforestation, reforestation, forests, forest, forestry, climatological, climatology, trees, influencing, climatic, impacts, tree, impact, factors, ecotypes, ecologization, meteorological, effects, climatol, klimapositives, geological, affects, impacted, ecoregions, climates, woodward, affecting, environmental, environmentally, climat, conifers, ecological, impactful, ecology, affect, influences, shrub, acclimatize, impacting, climate, climatena, altitudes, effect, timber, firewood, geothermal, influence, affected, environment",,science and tech,,analysis,ethics & reg,,Analysis,OK,2,analysis,OK,strategy,,analysis,OK,2,1,1,,1,,,analysis
What is the main altitude range of forest areas affected by anthropogenic activities?,The main altitude range of forest areas affected by anthropogenic activities was mainly distributed at elevations of 0400 m,Climatic Forest Impacts,"deforestation, afforestation, reforestation, forests, forest, forestry, climatological, climatology, trees, influencing, climatic, impacts, tree, impact, factors, ecotypes, ecologization, meteorological, effects, climatol, klimapositives, geological, affects, impacted, ecoregions, climates, woodward, affecting, environmental, environmentally, climat, conifers, ecological, impactful, ecology, affect, influences, shrub, acclimatize, impacting, climate, climatena, altitudes, effect, timber, firewood, geothermal, influence, affected, environment",,others,,analysis,factual,OK,Analysis,OK,2,analysis,OK,ethics & reg,,science & technology,,1,1,1,1,,,1,analysis
What is the highest estimated change of forest with significant greening caused by anthropogenic activities in a month?,The highest estimated change was noted in August,Climatic Forest Impacts,"deforestation, afforestation, reforestation, forests, forest, forestry, climatological, climatology, trees, influencing, climatic, impacts, tree, impact, factors, ecotypes, ecologization, meteorological, effects, climatol, klimapositives, geological, affects, impacted, ecoregions, climates, woodward, affecting, environmental, environmentally, climat, conifers, ecological, impactful, ecology, affect, influences, shrub, acclimatize, impacting, climate, climatena, altitudes, effect, timber, firewood, geothermal, influence, affected, environment",,strategy,,analysis,factual,OK,Ethics and Regulation,,9,analysis,OK,analysis,OK,analysis,OK,3,,,1,,,1,analysis
